XxY,slice_ID,raw_x,raw_y,n_genes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_200_genes,pct_counts_in_top_500_genes,total_counts_mt,pct_counts_mt,batch,clusters,clusters_0.7,new_x,new_y,new_z,dotShape,clusters_0.6,clusters_0.5,clusters_0.4,clusters_0.3
14720x114500-3,E16-18_S04_a,14720,114500,441,441,6.091309882077698,2379.0,7.7748556,44.51450189155107,64.48087431693989,83.64859184531316,100.0,0.0,0.0,3,2,3,-55.56491056333984,-179.7844401504159,30000.0,circle,4,0,2,3
14720x114520-3,E16-18_S04_a,14720,114520,483,483,6.182084906716632,2477.0,7.815207,41.824788050060555,60.23415421881309,79.45094872830036,100.0,0.0,0.0,3,10,13,-57.139698289802524,-159.8465354556747,30000.0,circle,10,0,2,3
14720x114540-3,E16-18_S04_a,14720,114540,399,399,5.991464547107982,1608.0,7.383368,44.02985074626866,61.75373134328358,83.33333333333334,100.0,0.0,0.0,3,10,13,-58.714486016265205,-139.90863076093353,30000.0,circle,10,0,2,3
14720x114560-3,E16-18_S04_a,14720,114560,415,415,6.030685260261263,1622.0,7.3920317,41.183723797780516,58.939580764488284,80.51787916152897,100.0,0.0,0.0,3,12,12,-60.289273742727886,-119.97072606619233,30000.0,circle,12,11,8,8
14720x114580-3,E16-18_S04_a,14720,114580,406,406,6.008813185442595,1736.0,7.4599147,42.33870967741936,61.29032258064516,82.20046082949308,100.0,0.0,0.0,3,12,12,-61.86406146919057,-100.03282137145115,30000.0,circle,12,11,8,8
14720x114600-3,E16-18_S04_a,14720,114600,365,365,5.902633333401366,1378.0,7.229114,42.52539912917271,60.59506531204645,84.54281567489114,100.0,0.0,0.0,3,18,17,-63.43884919565325,-80.09491667670996,30000.0,circle,13,12,8,8
14720x114620-3,E16-18_S04_a,14720,114620,378,378,5.937536205082426,1600.0,7.3783836,44.625,62.0625,84.375,100.0,0.0,0.0,3,18,17,-65.01363692211592,-60.157011981968765,30000.0,circle,13,12,8,8
14720x114640-3,E16-18_S04_a,14720,114640,385,385,5.955837369464831,1801.0,7.4966526,43.64242087729039,61.910049972237644,83.564686285397,100.0,0.0,0.0,3,18,17,-66.58842464857861,-40.21910728722758,30000.0,circle,13,12,8,8
14720x114660-3,E16-18_S04_a,14720,114660,335,335,5.817111159963204,1443.0,7.275172,50.1039501039501,67.84476784476784,88.98128898128898,100.0,0.0,0.0,3,18,17,-68.16321237504128,-20.28120259248639,30000.0,circle,13,12,8,8
14720x114680-3,E16-18_S04_a,14720,114680,337,337,5.823045895483019,1530.0,7.3336763,51.503267973856204,69.86928104575163,90.0,100.0,0.0,0.0,3,18,17,-69.73800010150397,-0.34329789774520103,30000.0,circle,13,12,8,8
14720x114700-3,E16-18_S04_a,14720,114700,356,356,5.877735781779639,1490.0,7.3072023,45.234899328859065,64.29530201342281,86.1744966442953,100.0,0.0,0.0,3,18,17,-71.31278782796664,19.594606796995986,30000.0,circle,13,12,8,8
14720x114720-3,E16-18_S04_a,14720,114720,428,428,6.061456918928017,1700.0,7.4389715,39.82352941176471,57.35294117647059,78.94117647058823,100.0,0.0,0.0,3,18,17,-72.88757555442933,39.532511491737175,30000.0,circle,13,12,8,8
